No,Soal,A,B,C,D,Jawaban
17,"Titik potong grafik dari fungsi \(y = 2x + 1\) dengan sumbu y adalah...",\((1, 0)\),\((0, 2)\),\((0, 1)\),\((2, 0)\),C
18,"Fungsi \(y = -x + 3\) melalui titik...",\((0, 3)\),\((3, 0)\),\((1, 2)\),Semua benar,D
19,"Jika diketahui grafik fungsi linear melalui titik \((0, 2)\) dan \((2, 6)\), maka persamaan grafiknya adalah...",\(y = 2x + 2\),\(y = x + 2\),\(y = 3x\),\(y = 2x\),A
20,"Grafik dari fungsi \(y = x\) akan melewati titik...",\((1, 0)\),\((2, 2)\),\((1, 2)\),\((0, -1)\),B
21,"Agar dapat menggambar grafik dari fungsi linear, paling sedikit diperlukan...",Satu titik,Dua titik,Tiga titik,Empat titik,B
22,"Jika fungsi linear \(y = 4x\), maka titik \((2, 8)\) berada...",Di atas grafik,Di bawah grafik,Pada grafik,Tidak berkaitan,C
23,"Titik potong grafik fungsi \(y = -2x + 4\) dengan sumbu-x terjadi saat...",\(x = 0\),\(y = 0\),\(x = y\),\(x = 4\),B
24,"Grafik fungsi linear selalu membentuk garis...",Lengkung,Patah-patah,Lurus,Melingkar,C
25,"Fungsi linear \(y = 0x + 5\) akan digambarkan sebagai garis...",Miring,Vertikal,Horizontal,Tidak bisa digambarkan,C
26,"Persamaan garis yang melalui titik \((1, –4)\) dan memiliki kemiringan 2 adalah...",\(y = 2x−6\),\(y = 2x+6\),\(y = −2x−6\),\(y = −2x+6\),A
27,"Sebuah garis melewati titik \((–2, 5)\) dengan kemiringan \(-3\). Persamaan garis tersebut adalah...",\(y = −3x−1\),\(y = −3x+1\),\(y = 3x−1\),\(y = 3x+1\),A
28,"Jika suatu garis melalui titik \((4, –1)\) dan memiliki gradien \(-2\), maka persamaan garisnya adalah...",\(y = −2x+7\),\(y = −2x−7\),\(y = 2x+7\),\(y = 2x−7\),A
29,"Tentukan persamaan garis lurus yang melalui titik \((–5, 2)\) dan mempunyai kemiringan 1.",\(y = x+7\),\(y = x−7\),\(y = −x+7\),\(y = −x−7\),A
30,"Garis dengan kemiringan 3 melewati titik \((–1, –5)\). Persamaan garis tersebut adalah...",\(y= 3x−2\),\(y = 3x+2\),\(y = −3x−2\),\(y = −3x+2\),A
31,"Dalam persamaan garis \(y = ax + b\), huruf \(a\) menunjukkan kemiringan garis. Jika nilai \(a\) lebih besar dari 0, maka arah kemiringan garis tersebut adalah...",Naik dari kiri ke kanan,Turun dari kiri ke kanan,Datar,Vertikal,A
32,"Dalam persamaan garis lurus \(y = ax + b\), angka \(b\) menunjukkan titik potong garis dengan sumbu y. Pernyataan ini adalah...",Benar,Salah,Tidak dapat ditentukan,Tidak relevan,A
33,"Jika angka di depan \(x\) (yaitu \(a\)) dalam persamaan garis lurus positif, maka arah garis tersebut adalah...",Naik dari kiri ke kanan,Turun dari kiri ke kanan,Datar,Vertikal,A
34,"Untuk menggambar grafik dari fungsi linear \(y = -12x + 3\), langkah pertama yang harus dilakukan adalah...",Menentukan titik potong dengan sumbu y,Menentukan titik potong dengan sumbu x,Menentukan dua titik pada grafik,Menghitung gradien,A
35,"Dalam persamaan garis \(y = -12x + 3\), angka yang menunjukkan titik potong dengan sumbu y adalah...",-12,3,0,-3,B
